	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_35	0	0	0	5.02604e-07	0	0	0.00123683	0	0	0	6.5588e-06	1.05442e-05	0	1.44978e-06	8.52478e-06	0.00656453	0	0	5.81137e-07	1.65569e-06	0	0	1.06636e-05	0.000811939	0	0	0	0	0.000653275	0	6.32911e-06	0	0	0	9.37054e-06	0	0	0	0	0	0	0	3.42451e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_36	0	0	0	0	0	0	0	0	0	0	1.45469e-05	0.00634046	0	0	5.23326e-06	3.59468e-05	3.42781e-06	0.000443472	0	0.00046034	0	0	0	2.33781e-05	1.30226e-05	0	0.0012228	2.55347e-06	1.6516e-06	0	0.00692467	0	0	0	0	0	0	0	0	0	1.273e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000650505	1.02817e-05	2.50111e-06	3.13546e-05	0	0	0	1.41393e-05	0	0	0	0	0.000657043	0	0	0.00125532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_38	0	0	0	0	0	0	0	0	6.3327e-06	0	0	0	0	0.0049212	0	0	1.07759e-05	0	7.24891e-07	0	0	0	0	2.26869e-06	1.49048e-05	0	0.00189572	0	1.11005e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_39	0	0	0	0	0	0	0	0	0	0	1.25735e-05	0	0	0	5.00382e-06	0	1.76956e-05	0	1.53585e-05	0	3.39916e-07	1.4206e-05	0	0	6.66207e-06	0	0.00651401	0	0	0	1.30069e-05	0	0	0	0	0	0	0	0	3.25756e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_40	0	0	0	0	0	0	0	0	0	0	6.52402e-06	0	1.75072e-06	0	0	0	0	0	2.4141e-05	0	1.76438e-05	0	1.66362e-05	5.49733e-06	4.61568e-05	6.02303e-06	0.000837031	0	0	1.36053e-05	0	0	0	0	0	0	0	0	0	0	0	0.00110049	0	0	0	0.000658019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_41	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36089e-05	0.00025563	0	0.00608054	1.27561e-06	1.971e-05	1.32721e-05	0	5.68325e-06	0.000406418	1.86409e-05	0	4.79637e-06	0	5.81137e-07	0	0	0	0.00689127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2345e-06	0	0	0	0	1.13435e-06	3.93544e-06	3.54369e-05	0	0	0	0	0	0	0	0	0	0.000810738	0	0	0	0	0	0	0	0	0	0.00148684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000843514	0	0.000277767	0	0.000285543	0	0	0	0	0	0	0	0	0	0	0.000813871	0	0	0.00568432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2217e-05	6.36809e-07	0.000264996	0.00569633	0	0	0.000810738	1.27222e-05	0	0	0	0	0.000835317	0.000190444	0	0	0	0	0	0	0	0	1.28502e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
