	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_32	0	1.98968e-05	0	0	0	0.000397888	0	1.42303e-06	2.84605e-06	0.00625042	0	0	9.44129e-07	0.000427391	0	8.22611e-06	0	0	1.79846e-05	0	0.00557044	0	0.000397888	0	0	0.00080324	0	0	0	0	0	0	8.97966e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_33	0	0	0	0	0	0	1.06727e-06	6.87793e-06	1.67028e-05	0	2.32093e-05	0	0	0	0	0	0.00705965	0.000452845	0.000827156	0	5.44763e-06	0.00703542	0.000795777	0	5.89909e-06	0	0	1.94114e-06	0.00557044	0	0	0	0	0	0	0	0.000656385	0.000270559	0	0	0	0	0	0	0.0062354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_34	0	0	0	0	7.11514e-07	0	0	2.36168e-05	0	0	0	2.13454e-06	0	0	0	0	0.00645383	1.42303e-06	0	0	0	0	0.00162071	1.50941e-05	7.71208e-06	0	0	0	0	0	3.23901e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_35	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8506e-06	0	2.28166e-05	0	0	2.4903e-06	7.11514e-07	0	0	0	0.00637105	0.00676472	0	0	7.03107e-06	0	0	0.00676536	0	0.00624564	1.317e-05	0.000833486	0	0	0	0	0	0.000417429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.11514e-07	1.99186e-05	0	9.42509e-06	0	6.185e-05	0.000424287	1.56414e-05	0	0	0	0	0	0	0	0.000249852	0.00596832	0.00559784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_37	0	0	0	0	0	0	0	0	6.91398e-06	0	0	0	0	0	3.03496e-06	0	2.55906e-05	0	0	1.40445e-06	0	0.00701057	5.38974e-06	0	2.80122e-05	0	2.63362e-05	0.000441861	0	0.000403847	0	0	0	0	0	0	0	1.09036e-06	0.00558441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_38	0	0	0	0	0	0	0	0	0	0	0	0	3.72419e-05	0	4.58109e-06	0	0	4.1541e-06	0	0	0	0	0	0	0.000809957	1.90766e-05	6.1411e-06	0	0	0	0	0	0.000826726	0	0	0	8.5476e-06	0.000421995	0	0.000273396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_39	0	0	0	0	0	0	0	0	0	0.000795777	1.71784e-05	0	0	7.87868e-06	0	0	0	0	0	7.5961e-06	0	6.93523e-06	0.000795777	0	0.000817131	0	2.0333e-05	0	0	0	0	0	0	0	0	0	0	0	0.000260669	0	0	0	0	0	1.28273e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26908e-06	5.07827e-06	0	0	9.98094e-06	0.000397888	0	0	0	0	0	0.00482427	0	0	0	0	0	0	2.75069e-05	0	0.000397888	0	0	0	0	0	1.22854e-05	0.000803526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.37269e-06	0	0	0	0	0	0.000795777	0	0.00146354	0	2.70644e-05	0	0.00557044	0	0	0	0	0	4.31044e-06	0	0	0.000436207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
